skill_raw;skill_normalized;domain;field;type_of_skill
Android Wear;Android Development;Software Engineering, Mobile Development;IT;Hard
Angular;Angular;Software Engineering;IT;Hard
AngularFire;Angular;Software Engineering;IT;Hard
AngularJS;Angular;Software Engineering;IT;Hard
Ansible;Ansible;Software Engineering, Operations;IT;Hard
ansble;Ansible;Software Engineering, Operations;IT;Hard
apache;Apache;Computer Science, DevOps, Software Engineering;IT;Hard
Apache Airflow;Apache Airflow;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Apache Ant;Apache Ant;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Camel;Apache Camel;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Commons;Apache Commons;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Cordova;Apache Cordova;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache CXF;Apache CXF;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Derby;Apache Derby;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache FOP;Apache FOP;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Foundation;Apache Foundation;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache HTTP Server;Apache HTTP Server;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Ivy;Apache Ivy;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Kafka;Apache Kafka;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Mesos;Apache Mesos;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache MyFaces Tomahawk;Apache MyFaces Tomahawk;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Pig;Apache Pig;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Spark;Apache Spark;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Storm;Apache Storm;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Tiles;Apache Tiles;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Tomcat;Apache Tomcat;Computer Science, DevOps, Software Engineering;IT;Hard
Apache Velocity;Apache Velocity;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache ZooKeeper;Apache ZooKeeper;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
ASP.NET;ASP.NET;Computer Science, Software Engineering;IT;Hard
ASP.NET AJAX;ASP.NET;Computer Science, Software Engineering;IT;Hard
ASP.NET Core;ASP.NET;Computer Science, Software Engineering;IT;Hard
ASP.NET Core MVC;ASP.NET;Computer Science, Software Engineering;IT;Hard
ASP.NET MVC;ASP.NET;Computer Science, Software Engineering;IT;Hard
ASP.NET Web API;ASP.NET;Computer Science, Software Engineering;IT;Hard
AspDotNetStorefront;ASP.NET;Computer Science, Software Engineering;IT;Hard
Auditing;Auditing;General;General;Hard
AutoCAD;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD 360;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD Architecture;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD Civil 3D;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD LT;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD MEP;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD Mechanical;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD P&ID;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD Plant 3D;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD WS;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD for Mac;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
Autodesk Inventor;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Autodesk;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Autodesk 360;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Autodesk InfraWorks;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
